ID IMDB;IDENTITE;DATE NAISSANCE;LIEU NAISSANCE;URL
nm1324884;Tait Fletcher;;;/name/nm1324884?ref_=tt_cl_t_11
nm3584890;Charlie Chappell;;;/name/nm3584890?ref_=tt_cl_t_6
nm5921082;Ben Dickey;1977-6-0;Little Rock, Arkansas, USA;/name/nm5921082?ref_=tt_cl_t_10
nm5772354;Leila George;20/03/1992;Sydney, New South Wales, Australia;/name/nm5772354?ref_=tt_cl_t_2
nm2851530;Dane DeHaan;06/02/1986;Allentown, Pennsylvania, USA;/name/nm2851530?ref_=tt_cl_t_4
nm0000160;Ethan Hawke;06/11/1970;Austin, Texas, USA;/name/nm0000160?ref_=tt_cl_t_5
nm0195842;Hawk D'Onofrio;;;/name/nm0195842?ref_=tt_cl_t_12
nm3856319;Chris Bylsma;;;/name/nm3856319?ref_=tt_cl_t_8
nm0000352;Vincent D'Onofrio;30/06/1959;Brooklyn, New York City, New York, USA;/name/nm0000352?ref_=tt_cl_t_15
nm8868767;Jake Schur;;;/name/nm8868767?ref_=tt_cl_t_1
nm0802019;Rachel Singer;;;/name/nm0802019?ref_=tt_cl_t_17
nm7240335;Clint Obenchain;;;/name/nm7240335?ref_=tt_cl_t_7
nm1216220;Chad Dashnaw;;;/name/nm1216220?ref_=tt_cl_t_9
nm1017206;Jenny Gabrielle;;;/name/nm1017206?ref_=tt_cl_t_18
nm3520036;Diana Navarrete;;;/name/nm3520036?ref_=tt_cl_t_13
nm6232017;Samantha Zajarias;;;/name/nm6232017?ref_=tt_cl_t_14
nm6590594;David Devereaux;;;/name/nm6590594?ref_=tt_cl_t_16
nm0004715;Will Arnett;04/05/1970;Toronto, Ontario, Canada;/name/nm0004715?ref_=tt_cl_t_2
nm3715867;Stephanie Beatriz;10/02/1981;Neuquén, Argentina;/name/nm3715867?ref_=tt_cl_t_4
nm0001122;Ellen DeGeneres;26/01/1958;Metairie, Louisiana, USA;/name/nm0001122?ref_=tt_cl_t_1
nm0006969;Elizabeth Banks;10/02/1974;Pittsfield, Massachusetts, USA;/name/nm0006969?ref_=tt_cl_t_3
nm0002071;Will Ferrell;16/07/1967;Irvine, California, USA;/name/nm0002071?ref_=tt_cl_t_10
nm1475594;Channing Tatum;26/04/1980;Cullman, Alabama, USA;/name/nm1475594?ref_=tt_cl_t_13
nm1840504;Tiffany Haddish;03/12/1979;Los Angeles, California, USA;/name/nm1840504?ref_=tt_cl_t_4
nm1547964;Richard Ayoade;23/05/1977;Hammersmith, London, England, UK;/name/nm1547964?ref_=tt_cl_t_15
nm1555340;Alison Brie;29/12/1982;Hollywood, Los Angeles, California, USA;/name/nm1555340?ref_=tt_cl_t_6
nm3338018;Jadon Sand;;;/name/nm3338018?ref_=tt_cl_t_11
nm7737419;Brooklynn Prince;04/05/2010;Winter Springs, Florida, USA;/name/nm7737419?ref_=tt_cl_t_12
nm0748973;Maya Rudolph;27/07/1972;Gainesville, Florida, USA;/name/nm0748973?ref_=tt_cl_t_9
nm2355635;Ben Schwartz;15/09/1981;Bronx, New York, USA;/name/nm2355635?ref_=tt_cl_t_16
nm0276161;Noel Fielding;21/05/1973;Westminster, London, England, UK;/name/nm0276161?ref_=tt_cl_t_17
nm1706767;Jonah Hill;20/12/1983;Los Angeles, California, USA;/name/nm1706767?ref_=tt_cl_t_14
nm0597388;Jason Momoa;01/08/1979;Honolulu, Hawaii, USA;/name/nm0597388?ref_=tt_cl_t_18
nm0644406;Nick Offerman;26/06/1970;Joliet, Illinois, USA;/name/nm0644406?ref_=tt_cl_t_7
nm0003944;Ian James Corlett;29/08/1962;Burnaby, British Columbia, Canada;/name/nm0003944?ref_=tt_cl_t_5
nm0505971;Ted Levine;29/05/1957;Bellaire, Ohio, USA;/name/nm0505971?ref_=tt_cl_t_8
nm0429363;Toby Jones;07/09/1966;Hammersmith, London, England, UK;/name/nm0429363?ref_=tt_cl_t_7
nm0714866;Sam Redford;;;/name/nm0714866?ref_=tt_cl_t_17
nm4826554;Charlie Rawes;;;/name/nm4826554?ref_=tt_cl_t_18
nm0419273;Peter Jason;22/07/1944;Hollywood, California, USA;/name/nm0419273?ref_=tt_cl_t_14
nm0001036;Geraldine Chaplin;31/07/1944;Santa Monica, California, USA;/name/nm0001036?ref_=tt_cl_t_11
nm1245863;Rafe Spall;10/03/1983;Camberwell, London, England, UK;/name/nm1245863?ref_=tt_cl_t_3
nm0000342;James Cromwell;27/01/1940;Los Angeles, California, USA;/name/nm0000342?ref_=tt_cl_t_6
nm3016166;Robert Emms;20/05/1986;Horley, Surrey, England, UK;/name/nm3016166?ref_=tt_cl_t_13
nm1134945;John Schwab;15/09/1972;Pensacola, Florida, USA;/name/nm1134945?ref_=tt_cl_t_16
nm6442861;Kevin Layne;;;/name/nm6442861?ref_=tt_cl_t_15
nm0252961;Idris Elba;06/09/1972;Hackney, London, England, UK;/name/nm0252961?ref_=tt_cl_t_17
nm1659221;Sebastian Stan;13/08/1982;Constanta, Romania;/name/nm1659221?ref_=tt_cl_t_16
nm1089991;Tom Hiddleston;09/02/1981;Westminster, London, England, UK;/name/nm1089991?ref_=tt_cl_t_12
nm1107001;Anthony Mackie;23/09/1978;New Orleans, Louisiana, USA;/name/nm1107001?ref_=tt_cl_t_15
nm0079273;Paul Bettany;27/05/1971;Harlesden, London, England, UK;/name/nm0079273?ref_=tt_cl_t_13
nm1775091;Danai Gurira;14/02/1978;Grinnell, Iowa, USA;/name/nm1775091?ref_=tt_cl_t_18
nm3965748;Zach King;04/02/1990;Portland, Oregon, USA;/name/nm3965748?ref_=tt_cl_t_1
nm7805923;Cole LaBrant;;;/name/nm7805923?ref_=tt_cl_t_4
nm0498278;Stan Lee;28/12/1922;New York City, New York, USA;/name/nm0498278?ref_=tt_cl_t_10
nm0740264;Michael Rooker;06/04/1955;Jasper, Alabama, USA;/name/nm0740264?ref_=tt_cl_t_6
nm0001327;David Hasselhoff;17/07/1952;Baltimore, Maryland, USA;/name/nm0001327?ref_=tt_cl_t_1
nm0348181;James Gunn;05/08/1966;St. Louis, Missouri, USA;/name/nm0348181?ref_=tt_cl_t_7
nm2281865;Guillermo Rodriguez;27/01/1971;Mexico;/name/nm2281865?ref_=tt_cl_t_11
nm0001125;Benicio Del Toro;19/02/1967;San Germán, Puerto Rico;/name/nm0001125?ref_=tt_cl_t_7
nm1166041;Ophelia Lovibond;19/02/1986;London, England, UK;/name/nm1166041?ref_=tt_cl_t_8
nm2884388;Chris Sullivan;19/07/1980;Palm Springs, California, USA;/name/nm2884388?ref_=tt_cl_t_12
nm6282315;Hannah Harlow;;;/name/nm6282315?ref_=tt_cl_t_17
nm0000621;Kurt Russell;17/03/1951;Springfield, Massachusetts, USA;/name/nm0000621?ref_=tt_cl_t_10
nm0777125;Aaron Schwartz;04/01/1981;New York City, New York, USA;/name/nm0777125?ref_=tt_cl_t_16
nm0281107;Tommy Flanagan;03/07/1965;Glasgow, Scotland, UK;/name/nm0281107?ref_=tt_cl_t_14
nm2652095;Laura Haddock;21/08/1985;England, UK;/name/nm2652095?ref_=tt_cl_t_15
nm5167893;Hilty Bowen;;;/name/nm5167893?ref_=tt_cl_t_18
nm1763390;Reggie De Leon;;;/name/nm1763390?ref_=tt_cl_t_14
nm1682319;Nate Corddry;08/09/1977;Weymouth, Massachusetts, USA;/name/nm1682319?ref_=tt_cl_t_13
nm2804503;Matt Jones;01/11/1981;Sacramento, California, USA;/name/nm2804503?ref_=tt_cl_t_8
