ID IMDB;NOM;ANNEE;RATING;URL;LIEU TOURNAGE;GENRES;LANGUE;RESUME;PAYS;
tt5433140;Fast & Furious X;2023;5.8;/title/tt5433140/?ref_=nm_flmg_t_4_act; Portugal,A24 Highway AKA Autoestrada do Interior Norte,;Action,Adventure,Crime;English;Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.;United States
tt8322592;Fast and Furious: Les Espions dans la course;2019–2021;5.9;/title/tt8322592/?ref_=nm_flmg_t_8_act; USA, California,Los Angeles;Animation,Action,Adventure;English;A team of teenage street racers are hired to infiltrate a criminal gang.;United States
tt13673396;ARK: Genesis - Part 2;2021;3.2;/title/tt13673396/?ref_=nm_flmg_t_9_act;;Action,Adventure,Comedy;English;ARK: Genesis Part 2 introduces a vast contiguous world filled with strange new biomes, story missions, and exotic creatures! The final confrontation between the spritely HLN-A and the villainous Sir Edmund Rockwell occurs on a gigantic colony ship traveling through deep space.;United States
tt5433138;Fast & Furious 9;2021;5.2;/title/tt5433138/?ref_=nm_flmg_t_10_act; Georgia,Tbilisi,;Action,Crime,Thriller;English;Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.;United States
tt11468188;Fast and Furious Crossroads;2020;2.4;/title/tt11468188/?ref_=nm_flmg_t_11_act;;Action,Crime,Drama;English;Caught up in a dangerous world of organized crime, three small-time garage owners find themselves at a crossroads. In a quest for vengeance, their destinies collide with a cast of familiar faces who share the same adversary.;United States
tt1634106;Bloodshot;2020;5.7;/title/tt1634106/?ref_=nm_flmg_t_12_act; Canada, Québec,Montreal;Action,Adventure,Sci-Fi;English;Ray Garrison, a slain soldier, is re-animated with superpowers.;United States
tt5848272;Ralph 2.0;2018;7.0;/title/tt5848272/?ref_=nm_flmg_t_14_act; USA, California,Walt Disney Feature Animation - 500 S. Buena Vista Street  Burbank;Animation,Adventure,Comedy;English;Six years after the events of "Wreck-It Ralph," Ralph and Vanellope, now friends, discover a wi-fi router in their arcade, leading them into a new adventure.;Japan
tt18783984;Kung Fu Panda: Le Chevalier Dragon;2022–2023;6.0;/title/tt18783984/?ref_=nm_flmg_t_1_act;;Animation,Action,Adventure;English;Follow Po, who partners up with a no-nonsense English knight named Wandering Blade, to find a collection of four powerful weapons before a mysterious pair of weasels do, and save the world from destruction.;United States
tt27930974;Tenacious D: Wicked Game;2023;8.4;/title/tt27930974/?ref_=nm_flmg_t_2_act;;Music;English;;United States
tt27736843;Tenacious D: Video Games;2023;9.0;/title/tt27736843/?ref_=nm_flmg_t_3_act;;Animation,Comedy,Music;English;;United States
