ID;IDENTITE;DATE NAISSANCE;LIEU NAISSANCE;URL;
nm1760759;Matt Eskandari;;;/name/nm1760759/?ref_=tt_ov_dr;
nm1230733;Mike Burns;;;/name/nm1230733/?ref_=tt_ov_dr;
nm0425364;Jesse V. Johnson;November 29 1971 ;Winchester, England, UK ;/name/nm0425364/?ref_=tt_ov_dr;
nm1714788;Jared Cohn;;;/name/nm1714788/?ref_=tt_ov_dr;
nm2846368;Sean Patrick O'Reilly;November 26 1974 ;Vancouver, Canada ;/name/nm2846368/?ref_=tt_ov_dr;
nm0973835;Josh Sternfeld;;;/name/nm0973835/?ref_=tt_ov_dr;
nm5090040;Wes Miller;;;/name/nm5090040/?ref_=tt_ov_dr;
nm4097598;James Cullen Bressack;February 29 1992 ;Los Angeles, California, USA ;/name/nm4097598/?ref_=tt_ov_dr;
nm0001752;Steven Soderbergh;January 14 1963 ;Atlanta, Georgia, USA ;/name/nm0001752/?ref_=tt_ov_dr;
nm1730221;Reid Carolin;January 10 1982 ;Lake Forest, Illinois, USA ;/name/nm1730221/?ref_=tt_ov_dr;
nm1475594;Channing Tatum;April 26 1980 ;Cullman, Alabama, USA ;/name/nm1475594/?ref_=tt_ov_dr;
nm0860483;Matt Thompson;;;/name/nm0860483/?ref_=tt_ov_dr;
nm0456732;Karey Kirkpatrick;December 14 1964 ;Monroe, Louisiana, USA ;/name/nm0456732/?ref_=tt_ov_dr;
nm1134222;Jason Reisig;August 24 1970 ;San Francisco, California, USA ;/name/nm1134222/?ref_=tt_ov_dr;
nm1029172;R.J. Durell;;;/name/nm1029172/?ref_=tt_ov_dr;
nm2985993;Nick Florez;;;/name/nm2985993/?ref_=tt_ov_dr;
nm0891216;Matthew Vaughn;March 7 1971 ;London, England, UK ;/name/nm0891216/?ref_=tt_ov_dr;
nm1626716;John Trengove;March 21 1978 ;Johannesburg, South Africa ;/name/nm1626716/?ref_=tt_ov_dr;
nm0811583;Zack Snyder;March 1 1966 ;Green Bay, Wisconsin, USA ;/name/nm0811583/?ref_=tt_ov_dr;
nm6828035;Lyle Mitchell Corbine Jr.;;;/name/nm6828035/?ref_=tt_ov_dr;
nm1189755;Jonathan Jakubowicz;January 29 1978 ;Caracas, Venezuela ;/name/nm1189755/?ref_=tt_ov_dr;
nm2705923;Lorcan Finnegan;;;/name/nm2705923/?ref_=tt_ov_dr;
nm2720681;Riley Stearns;June 29 1986 ;Texas, USA ;/name/nm2720681/?ref_=tt_ov_dr;
nm1243740;Kim Nguyen;1974 ;Montréal, Québec, Canada ;/name/nm1243740/?ref_=tt_ov_dr;
nm4784847;James B. Jones;October 24 1987 ;Flint, Michigan, USA ;/name/nm4784847/?ref_=tt_ov_wr;
nm0160840;Jon M. Chu;November 2 1979 ;Palo Alto, California, USA ;/name/nm0160840/?ref_=tt_ov_dr;
nm0000095;Woody Allen;November 30 1935 ;Bronx, New York City, New York, USA ;/name/nm0000095/?ref_=tt_ov_dr;
